Therapist Name,Response Style,Emotional Attunement,Modality Leaning,Handling of Resistance,Crisis Response,Feedback Openness,Power Sharing,Emotional Language Depth,Therapeutic Warmth,Safety vs Challenge,Specialties
Dr. Lynn Carter,Balanced,High,"CBT, Trauma-Informed",Gently Probing,Action-Oriented,Welcoming,Collaborative,Deep,Warm,Balanced,"['Trauma', 'PTSD', 'Sexual Abuse']"
Dr. Eli Moreno,Exploratory,High,Psychodynamic,Gently Probing,Containment,Welcoming,Client-Led,Deep,Warm,Safe,"['Depression', 'Attachment', 'Self-Worth']"
Jada Kim,Directive,Moderate,CBT,Gently Probing,Action-Oriented,Open,Therapist-Led,Surface-Level,Neutral,Challenging,"['Anxiety', 'Self-Harm', 'Behavioral Change']"
Rev. Thomas Haines,Balanced,High,"Integrative, Spiritual",Supportive,Empathetic,Open,Collaborative,Deep,Warm,Safe,"['Grief', 'Spiritual Crisis', 'Couples']"
Dr. Renee Holloway,Exploratory,High,"Humanistic, Existential",Gently Probing,Containment,Welcoming,Client-Led,Deep,Warm,Balanced,"['Existential Crisis', 'Breakups', 'Depression']"
"Priya Desai, LCSW",Balanced,High,"Integrative, Narrative",Supportive,Empathetic,Open,Collaborative,Deep,Warm,Balanced,"['Cultural Identity', 'Family Conflict', 'Grief']"
Dr. Alex Brandt,Directive,Moderate,"REBT, CBT",Confrontational,Action-Oriented,Defensive,Therapist-Led,Surface-Level,Neutral,Challenging,"['Self-Sabotage', 'Decision Making', 'Anger']"
Margo Taylor,Exploratory,High,"Art Therapy, Humanistic",Supportive,Containment,Open,Client-Led,Deep,Warm,Safe,"['Creative Blocks', 'Trauma', 'Emotion Regulation']"
Dr. Isaac Feldman,Directive,Moderate,Behavioral,Supportive,Action-Oriented,Open,Therapist-Led,Moderate,Neutral,Safe,"['Children', 'Parenting', 'ADHD']"
Simone Lacroix,Exploratory,High,"Gestalt, Humanistic",Gently Probing,Containment,Welcoming,Client-Led,Deep,Warm,Balanced,"['Identity', 'Self-Esteem', 'Body Image']"
Dr. Maria Velasquez,Balanced,High,Integrative / Eclectic,Supportive,Empathetic,Open,Collaborative,Deep,Warm,Balanced,"['Immigration Trauma', 'Cultural Identity', 'Anxiety']"
"Noah Kim, LMFT",Directive,Moderate,CBT,Confrontational,Action-Oriented,Open,Therapist-Led,Moderate,Neutral,Challenging,"['Couples', 'Addiction', 'Anger']"
Fatima Noor,Exploratory,High,Narrative,Gently Probing,Containment,Welcoming,Client-Led,Deep,Warm,Safe,"['Sexual Abuse', 'Self-Esteem', 'Loss']"
Dr. Jonathan Reed,Balanced,Moderate,Humanistic,Supportive,Empathetic,Open,Collaborative,Moderate,Warm,Balanced,"['Depression', 'Relationship Issues', 'Stress']"
"Ava Li, PsyD",Directive,Moderate,DBT,Confrontational,Action-Oriented,Open,Therapist-Led,Surface-Level,Neutral,Challenging,"['BPD', 'Crisis Management', 'Emotion Regulation']"
Tariq El-Masri,Exploratory,High,Psychodynamic,Gently Probing,Containment,Welcoming,Client-Led,Deep,Warm,Safe,"['Grief', 'Masculinity', 'Depression']"
Chloe Wang,Balanced,Moderate,CBT,Supportive,Empathetic,Open,Collaborative,Moderate,Warm,Balanced,"['Anxiety', 'Perfectionism', 'Teen Therapy']"
Diego Ramirez,Directive,Low,Behavioral,Confrontational,Directive without empathy,Defensive,Therapist-Led,Surface-Level,Cold/Detached,Challenging,"['ADHD', 'Behavioral Issues', 'Teens']"
Zara Mendel,Exploratory,High,Narrative,Gently Probing,Empathetic,Welcoming,Client-Led,Deep,Warm,Safe,"['LGBTQ+ Issues', 'Identity', 'Relationship Trauma']"
